Reference Key;Default Language;pl
msg.lounge.leave.and.join.session.content;You're about to leave a lounge and join the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;Zaraz opuścisz strefę lounge i dołączysz do sesji <strong>{sessionName}</strong>. Jeśli chcesz później ponownie rozmawiać z uczestnikami w strefie lounge <strong>{leavingTable}</strong>, będziesz musiał dołączyć ponownie.
msg.lounge.leave.and.start.session.title;Leave lounge and start session?;Opuścić strefę lounge i rozpocząć sesję?
msg.lounge.leave.and.start.session.content;You're about to leave a lounge and start the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;Zaraz opuścisz strefę lounge i rozpoczniesz sesję <strong>{sessionName}</strong>. Jeśli chcesz później ponownie dołączyć do strefy lounge <strong>{leavingTable}</strong>, będziesz musiał do niej wrócić.
msg.lounge.leave.and.restart.session.title;Leave lounge and restart session?;Opuścić strefę lounge i rozpocząć sesję od nowa?
msg.lounge.leave.and.restart.session.content;You're about to leave a lounge and restart the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;Zaraz opuścisz strefę lounge i zrestartujesz sesję <strong>{sessionName}</strong>. Jeśli chcesz później ponownie rozmawiać z uczestnikami w strefie lounge <strong>{leavingTable}</strong>, będziesz musiał dołączyć ponownie.
msg.lounge.leave.and.rehearse.session.title;Leave lounge and rehearse session?;Opuścić strefę lounge i przećwiczyć sesję?
msg.lounge.leave.and.rehearse.session.content;You're about to leave a lounge and rehearse the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;Zaraz opuścisz strefę lounge i przejdziesz do próbnej sesji <strong>{sessionName}</strong>. Jeśli chcesz później ponownie rozmawiać z uczestnikami w strefie lounge <strong>{leavingTable}</strong>, będziesz musiał dołączyć ponownie.
msg.lounge.leave.and.enter.booth.title;Leave lounge and enter booth?;Opuścić strefę lounge i wejść do budki?
msg.lounge.leave.and.enter.booth.content;You're about to leave a lounge and join the <strong>{boothName}</strong> booth. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;Zaraz opuścisz strefę lounge i dołączysz do stanowiska <strong>{boothName}</strong>. Jeśli chcesz później ponownie rozmawiać z uczestnikami w strefie lounge <strong>{leavingTable}</strong>, będziesz musiał dołączyć ponownie.
msg.lounge.leave.and.join.new.lounge.content;You're about to leave a lounge and join the <strong>{tableName}</strong> lounge. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;Zaraz opuścisz strefę lounge i dołączysz do <strong>{tableName}</strong> strefy lounge. Jeśli później będziesz chciał ponownie rozmawiać z uczestnikami strefy <strong>{leavingTable}</strong>, musisz do niej wrócić.
lbl.share.material;Share Material;Udostępnij materiał
lbl.add.emoji;Add Emoji;Dodaj emoji
lbl.more.options;More Options;więcej opcji
lbl.about.event;About Event;O wydarzeniu
lbl.participants;Participants;Uczestnicy
lbl.booth.rehearse.mode;Booth Rehearse Mode;Tryb próbny stoiska
lbl.filter.bookmark.sessions;Filter Bookmarked Sessions;Filtruj zapisane sesje
lbl.event.team.member;Event Team Member;członek zespołu wydarzenia
lbl.event.team;Event Team;Zespół wydarzenia
lbl.event.speaker;Event Speaker;Prelegent wydarzenia
lbl.event.exhibitor;Event Exhibitor;Wystawca wydarzenia
lbl.search.panelists;Search Panelists;Szukaj uczestników
lbl.co.hosts;Co-Hosts;Współprowadzący
lbl.search.visitors;Search Visitors;Szukaj uczestników
lbl.search.requests;Search Requests;Wyszukaj żądania
lbl.search.booth.members;Search Booth Members;Szukaj członków stoiska
lbl.viewing;Viewing;Przeglądasz
lbl.seats.available;Seats Available;wolne miejsca
lbl.open.sessions.pane;Open Sessions Tab;Otwórz kartę sesji
lbl.view.less;View Less;Pokaż mniej
lbl.view.more;View More;Zobacz więcej
lbl.started.at;Started at {time};Rozpoczęto o {time}
lbl.send.message;Send Message;Wyślij wiadomość
lbl.ended.at;Ended at {time};Zakończono o {time}
lbl.waiting.for.broadcast;Waiting for Broadcast;Oczekiwanie na transmisję
lbl.exhibitors;Exhibitors;Wystawcy
lbl.admit.this.meeting;Admit in This Meeting;Przyjmij na to wydarzenie
lbl.start.new.meeting;Start New Meeting;Rozpocznij nowe wydarzenie
lbl.end.session.title;End an Ongoing Session?;Zakończyć trwającą sesję?
lbl.end;End;Zakończ
lbl.leave.current.meeting.qn;Leave Current Meeting?;Opuścić bieżące wydarzenie?
lbl.leads;Leads;Leady
lbl.attendees;Attendees;Uczestnicy
lbl.engage;Engage;Weź udział
lbl.go.to.waiting.room;Go to Waiting Room;Przejdź do poczekalni
lbl.active.meetings;Active Meetings;Aktywne wydarzenia
msg.go.to.waiting.room.info.one.visitor;You have 1 visitor in the waiting room. Start a meeting to engage with them.;Masz 1 gościa w poczekalni. Rozpocznij spotkanie, aby się z nim połączyć.
msg.go.to.waiting.room.info.n.visitor;You have {visitorCount} visitors in the waiting room. Start a meeting to engage with them.;Masz {visitorCount} odwiedzających w poczekalni. Rozpocznij spotkanie, aby się z nimi skontaktować.
lbl.meet.visitor.now;Meet Visitor Now?;Spotkaj się z uczestnikiem teraz?
lbl.sponsor;Sponsor;Sponsor
lbl.end.session;End Session;Zakończ sesję
lbl.host;Host;Gospodarz
lbl.booth.host;Booth Host;Gospodarz stoiska
lbl.event.team.members;Event Team Members;Członkowie zespołu wydarzenia
lbl.live.session;Live Session;Sesja na żywo
lbl.live.sessions;Live Sessions;Sesje na żywo
lbl.upcoming.sessions;Upcoming Sessions;Nadchodzące sesje
lbl.right.navigation;Right Navigation;Nawigacja po prawej
lbl.left.navigation;Left Navigation;lewa nawigacja
lbl.menu;Menu;Menu
lbl.completed.sessions;Completed Sessions;Zakończone sesje
lbl.end.restart;End and Restart;Zakończ i rozpocznij ponownie
lbl.end.start;End and Start;Zakończ i rozpocznij
lbl.restart.session;Restart Session;Restartuj sesję
lbl.restart;Restart;Restartuj
lbl.other.members;Other Members;Inni uczestnicy
lbl.available.members;Available Members;Dostępni uczestnicy
lbl.exit;Exit;Wyjdź
lbl.welcome.member;Welcome {memberName};Witaj, {memberName}
lbl.view.booth.activities;View Booth Activities;Zobacz aktywności stoiska
lbl.hi.member;Hi {memberName};Cześć {memberName}
lbl.view.other.exhibitors;View Other Exhibitors;Zobacz innych wystawców
lbl.lead.quality;Lead Quality;Jakość leada
lbl.hot;Hot;Gorące
lbl.cold;Cold;Zimno
lbl.warm;Warm;Ciepły
lbl.not.specified;Not Specified;Nie określono
lbl.meeting;Meeting;spotkanie
lbl.booth.member;Booth Member;Członek stoiska
lbl.sponsor.as.bm;Booth Member - Sponsor;Członek stoiska - sponsor
lbl.visitor;Visitor;uczestnik
lbl.bm.as.visitor;Visitor - Event Exhibitor;Uczestnik - wystawca wydarzenia
lbl.sponsor.as.visitor;Visitor - Sponsor;Gość - Sponsor
lbl.speaker.as.visitor;Visitor - Speaker;Gość - Prelegent
lbl.meeting.in.progress;Meeting in Progress;Spotkanie w toku
lbl.co.host;Co-Host;Współprowadzący
lbl.rehearse.session;Rehearse Session;Przećwicz sesję
lbl.start.session;Start Session;Rozpocznij sesję
lbl.no.of.stars;No of Stars;Liczba gwiazdek
lbl.3.stars;3 Stars;3 gwiazdki
lbl.5.stars;5 Stars;5 gwiazdek
lbl.10.stars;10 Stars;10 gwiazdek
lbl.star;Star;Gwiazda
lbl.answered;Answered;Odpowiedziałeś
lbl.not.answered;Not Answered;Nieodpowiedziane
lbl.playing;Playing;Odtwarzanie
lbl.poll.number;Poll {number};Ankieta {number}
lbl.modify;Modify;Modyfikuj
lbl.participate;Participate;Weź udział
lbl.edit.poll;Edit Poll;Edytuj ankietę
lbl.create.poll;Create Poll;Utwórz ankietę
lbl.no.unanswered.questions;There Are No Unanswered Questions;Brak nieodpowiedzianych pytań
lbl.chat;Chat;Czat
lbl.love.it;LOVE IT;uwielbiam to
lbl.super;Super;Super
lbl.insightful;Insightful;wnikliwy
lbl.wow;Wow;Wow
lbl.clap;Clap;Brawa
lbl.lol;Lol;Lol
lbl.disagree;Disagree;Nie zgadzam się
lbl.results.shown;Results Shown;Wyświetlone wyniki
lbl.question.count;Question {count};Pytanie {count}
lbl.poll.type;Poll Type;Typ ankiety
lbl.answer.index;Answer {index}: {answer};Odpowiedź {index}: {answer}
lbl.n.stars;{count} Stars;{count} gwiazdek
lbl.test;Test;Test
lbl.you;You;Ty
lbl.reactions;Reactions;Reakcje
lbl.poll.title;Poll Title;Tytuł ankiety
lbl.add.question;Add Question;Dodaj pytanie
lbl.answers;Answers;Odpowiedzi
lbl.n.option;Option {n};Opcja {n}
lbl.add.option;Add Option;Dodaj opcję
lbl.start;Start;Start
lbl.view.result;View Result;Zobacz wynik
lbl.anonymous;Anonymous;Anonimowy
lbl.sort.by;Sort By;Sortuj według
lbl.deny;Deny;Odmów
lbl.video;Video;Wideo
lbl.none;None;Brak
lbl.reply;Reply;Odpowiedz
lbl.left;Left;Lewy
lbl.delete.question;Delete Question;Usuń pytanie
lbl.single.choice;Single Choice;Pojedynczy wybór
lbl.checkbox;Checkbox;Pole wyboru
lbl.multiple.choice;Multiple Choice;Wielokrotny wybór
lbl.rating;Rating;Ocena
lbl.questions;Questions;Pytania
lbl.polls;Polls;Ankiety
lbl.agree;Agree;Zgadzam się
lbl.poll.results;Poll Results;Wyniki ankiety
lbl.votes;Votes;Głosy
lbl.submit;Submit;Wyślij
lbl.reload;Reload;Odśwież
lbl.n.star;{count} Star;{count} gwiazdek
msg.session.talk.running;Session is currently running;Sesja jest w toku
msg.end.session.confirm;You can end this session for you and for all participants involved. Alternatively, you can choose to exit this session without stopping the session for other participants.;Możesz zakończyć tę sesję dla siebie i wszystkich uczestników. Możesz też opuścić tę sesję, nie przerywając jej dla innych uczestników.
msg.exit.booth.success;You have exited the booth;Opuściłeś kabinę
msg.participant.left.from.meeting;You have exited from the meeting;Opuściłeś spotkanie
msg.exhibitor.room.run.ended;Meeting has been ended successfully;Wydarzenie zostało zakończone
msg.view.live.sessions.from.sessions.pane;Join other live sessions from the <strong>Sessions</strong> tab;Dołącz do innych sesji na żywo z zakładki <strong>Sesje</strong>
msg.view.rehearse.sessions.from.sessions.pane;Join other session rehearsals from the <strong>Sessions</strong> tab;Dołącz do innych prób sesji z zakładki <strong>Sesje</strong>
msg.warn.agenda.on.air.addon.needed.each.event.day;The Backstage OnAir add-on is needed for each event day in order to present sessions;Dodatek Backstage OnAir jest wymagany na każdy dzień wydarzenia, aby prezentować sesje
msg.warn.agenda.on.air.addon.needed.present.sessions;The Backstage OnAir add-on is needed to present sessions for this day;Dodatek Backstage OnAir jest wymagany do prezentacji sesji tego dnia
msg.meet.now.description;You can choose to admit the selected visitors into the current meeting or start a new meeting with them;Możesz wpuścić wybranych gości na to wydarzenie lub rozpocząć z nimi nowe wydarzenie
msg.meeting.ended.success;You've ended the meeting successfully;Zakończyłeś spotkanie pomyślnie
msg.visitors.added.leads;Visitors have been added as leads.;Odwiedzający zostali dodani jako leady.
msg.no.visitors.added.leads;No leads have been added from this meeting;Nie dodano żadnych leadów z tego spotkania
msg.change.leads.status.comment;Click here to add comments or change the lead status;Kliknij tutaj, aby dodać komentarz lub zmienić status leada
msg.error.unable.to.leave.the.lounge;Sorry, unable to leave the waiting room. Please try again later.;Przepraszam, nie mogę opuścić poczekalni. Spróbuj ponownie później.
msg.profile.data.change.info;Changes made will reflect across all the events on <b>{domain}</b>;Wprowadzone zmiany będą widoczne we wszystkich wydarzeniach na <b>{domain}</b>
msg.ticket.data.change.info;Changes made will reflect in the ticket details of this event;Wprowadzone zmiany pojawią się w szczegółach biletu tego wydarzenia
msg.start.new.meeting.description.host;You are the host of the ongoing meeting. When you start a new meeting, the ongoing meeting will end and a new meeting will begin with the selected visitors.;Jesteś gospodarzem trwającego spotkania. Rozpoczynając nowe spotkanie, zakończysz obecne i rozpoczniesz nowe spotkanie z wybranymi gośćmi.
msg.start.new.meeting.description.booth.member;When you start a new meeting, you will be removed from the current meeting and a new meeting will begin with the selected visitors.;Rozpoczynając nowe spotkanie, zostaniesz usunięty z obecnego spotkania i rozpoczniesz nowe spotkanie z wybranymi gośćmi.
msg.error.lead.comment.invalid;The comment can't include < and >. Please enter a valid comment.;Komentarz nie może zawierać < ani >. Wpisz poprawny komentarz.
msg.success.exhibitor.lead.saved;Exhibitor lead updated;Dane uczestnika zaktualizowane
msg.error.exhibitor.lead.saved;Sorry, unable to update exhibitor lead. Please try again later.;Przepraszam, nie mogę zaktualizować leada wystawcy. Spróbuj ponownie później.
msg.one.visitors.waiting.lounge;You have 1 visitor in the waiting room;Masz 1 gościa w poczekalni
msg.n.visitors.waiting.lounge;You have {count} visitors in the waiting room;Masz {count} gości w poczekalni
msg.one.visitor.selected;1 visitor selected;1 uczestnik wybrany
msg.n.visitors.selected;{count} visitors selected;Wybrano {count} uczestników
msg.selected.participants.joined.another.room;The participants {participantList} were joined in another meeting room.;Uczestnicy {participantList} dołączyli do innego pokoju spotkań.
msg.start.new.session;Start a new session?;Rozpocząć nową sesję?
msg.session.talk.restart.confirm;This session will be restarted. All current session interactions, including polls, Q&A, and chat, will be moved to the session history. A new session will be created with a fresh interaction panel.;Ta sesja zostanie zrestartowana. Wszystkie bieżące interakcje, w tym ankiety, Q&A i czat, zostaną przeniesione do historii sesji. Zostanie utworzona nowa sesja z nowym panelem interakcji.
msg.session.rehearsal.running.end.and.start;You are trying to rehearse the <strong>{sessionName}</strong> session in the <strong>{laneSourceLabel}</strong> {laneSource}. This action will stop any session that you are already hosting or sessions that are currently running in the same {laneSource}.;Próbujesz przećwiczyć sesję <strong>{sessionName}</strong> w <strong>{laneSourceLabel}</strong> {laneSource}. Ta akcja zatrzyma każdą sesję, którą już prowadzisz, lub sesje aktualnie uruchomione w tym samym {laneSource}.
msg.no.visitors.in.lounge;No visitors in the waiting room;Brak gości w poczekalni
msg.error.unable.to.enter.expo.room;Sorry, unable to enter the meeting. Please try again later.;Przepraszam, nie możesz dołączyć do wydarzenia. Spróbuj ponownie później.
msg.error.unable.to.fetch.panelist;Sorry, unable to fetch the panelist's details. Please try again later.;Przepraszam, nie można pobrać danych uczestnika. Spróbuj ponownie później.
msg.error.unable.to.end.expo.room.run;Sorry, unable to end the meeting. Please try again later.;Przepraszam, nie mogę zakończyć wydarzenia. Spróbuj ponownie później.
msg.waiting.room.description;Please wait until the exhibitor lets you in the meeting room;Poczekaj, aż wystawca wpuści Cię do pokoju spotkań
msg.error.request.raised.another.booth;You have already requested to meet booth members in the {companyName} booth.;Już poprosiłeś o spotkanie z członkami stoiska {companyName}.
msg.error.meeting.in.another.booth;You are already in a meeting with booth members in the {companyName} booth.;Jesteś już na spotkaniu z członkami stoiska {companyName}.
msg.present.session.only.session.day;Sessions can only be presented on the specified event day;Sesje można prezentować tylko w wyznaczonym dniu wydarzenia
msg.answered.qns.will.show.here;Answered questions will be displayed here;Odpowiedzi na pytania pojawią się tutaj
msg.polls.participate.persons.count.plural;{count} people answered the poll;{count} osób odpowiedziało na ankietę
msg.polls.participate.persons.count.single;{count} person answered the poll;{count} uczestnik odpowiedział na ankietę
msg.please.wait.while.checking;Please wait while we check your device...;Proszę poczekaj, sprawdzamy twoje urządzenie...
msg.enter.poll.question;Enter the poll question here;Wpisz tutaj pytanie do ankiety
msg.error.poll.title.empty;Poll title cannot be empty;Tytuł ankiety nie może być pusty
msg.error.poll.title.invalid;Please provide a valid poll title;Podaj poprawny tytuł ankiety
msg.error.poll.title.too.long;Poll title can't exceed 350 characters;Tytuł ankiety nie może przekraczać 350 znaków
msg.error.poll.question.empty;Please enter the question for the poll;Wprowadź pytanie do ankiety
msg.error.poll.question.invalid;Please provide a valid poll question;Podaj poprawne pytanie do ankiety
msg.error.poll.option.empty;Please provide options for the poll question;Podaj opcje do pytania w ankiecie
msg.error.poll.option.invalid;Please provide a valid poll question option;Podaj poprawną opcję pytania ankiety
msg.error.poll.option.too.long;Option can't exceed 350 characters;Opcja nie może przekraczać 350 znaków
msg.error.poll.option.already.present;The option yout are trying to add is already present;Opcja, którą próbujesz dodać, już istnieje
msg.question.delete.confirm;This action will remove the question along with its associated replies;Ta akcja usunie pytanie wraz z powiązanymi odpowiedziami
msg.success.question.delete;Question deleted;Pytanie usunięte
msg.error.video.upload.extn;The {fileExtn} video type is not supported;Typ wideo {fileExtn} nie jest obsługiwany
msg.poll.delete.confirm;This action will remove this poll along with its associated options or settings. Would you like to delete this poll from this session?;Ta akcja usunie tę ankietę wraz z powiązanymi opcjami lub ustawieniami. Czy chcesz usunąć tę ankietę z tej sesji?
msg.poll.delete.success;Poll deleted;Ankieta usunięta
lbl.leave.waiting.room;Leave Waiting Room;Opuść poczekalnię
msg.picked.up.details.many;<b>{pickedBy}</b> picked {count} visitors from waiting room;<b>{pickedBy}</b> odebrał {count} uczestników z poczekalni
msg.picked.up.details.one;<b>{pickedBy}</b> picked 1 visitor from waiting room;<b>{pickedBy}</b> odebrał 1 uczestnika z poczekalni
lbl.exit.event;Exit Event;Wyjście z wydarzenia
msg.exit.virtual.space.warning.description;This action will take you out of the event and close this window. You can re-enter this event anytime before it ends.;Ta akcja wyloguje Cię z wydarzenia i zamknie to okno. Możesz ponownie wejść do wydarzenia w dowolnym momencie przed jego zakończeniem.
msg.booth.member.only.room.info;This is a member-only space. Discuss booth activities with other members from your exhibiting team or start a meeting with the visitors in the waiting room.;To jest przestrzeń tylko dla członków. Omów działania na stoisku z innymi członkami swojego zespołu wystawiającego lub rozpocznij spotkanie z gośćmi w poczekalni.
msg.expo.booth.members.joined;All booth members have joined the booth;Wszyscy członkowie stoiska dołączyli do stoiska
msg.expo.booth.available.members.engaged;All available booth members are engaged in meetings;Wszyscy dostępni członkowie stoiska są zajęci spotkaniami
msg.booth.title.leave.waiting.room.join.session;Leave waiting room and join session?;Opuścić poczekalnię i dołączyć do sesji?
msg.booth.title.leave.waiting.room.start.session;Leave waiting room and start session?;Opuścić poczekalnię i rozpocząć sesję?
msg.booth.title.leave.waiting.room.restart.session;Leave waiting room and restart session?;Opuścić poczekalnię i zrestartować sesję?
msg.booth.title.leave.waiting.room.rehearse.session;Leave waiting room and start session rehearsal?;Opuścić poczekalnię i rozpocząć próbę sesji?
msg.booth.title.leave.waiting.room.join.lounge;Leave waiting room and join lounge?;Opuścić poczekalnię i dołączyć do strefy lounge?
msg.booth.title.leave.waiting.room.enter.booth;Leave waiting room and enter another booth?;Opuścić poczekalnię i wejść do innego stanowiska?
lbl.leave.waiting.room.qn;Leave Waiting Room?;Opuścić poczekalnię?
lbl.leave.booth.qn;Leave Booth?;Opuścić stanowisko?
lbl.yet.to.join;Yet to Join;Jeszcze nie dołączył
lbl.booth.meetings;Booth Meetings;Spotkania na stoisku
lbl.member.only.room;Member-Only Room;Pokój tylko dla członków
lbl.filter.bookmark.exhibitors;Filter Bookmarked Exhibitors;Filtruj zapisanych wystawców
lbl.exit.booth;Exit Booth;Wyjdź z kabiny
lbl.open.in.zoom;Open in Zoom;Otwórz w Zoom
msg.lounge.is.full;Lounge is full;Strefa lounge jest pełna
msg.pls.visit.later;Please visit later;Odwiedź ponownie później
lbl.end.session.for.all;End Session for All;Zakończ sesję dla wszystkich
lbl.exit.session.without.ending;Exit Session without Ending;Wyjdź z sesji bez kończenia
msg.sessions.running.end.and.restart;You are trying to end the <strong>{leaveSession} </strong> session and restart the <strong>{joinSession}</strong>  session in the <strong>{streamSourceLabel}</strong> {streamSource}. This action will stop any session that you are already hosting or sessions that are currently running in the same {streamSource}.;Próbujesz zakończyć sesję <strong>{leaveSession}</strong> i ponownie uruchomić sesję <strong>{joinSession}</strong> w <strong>{streamSourceLabel}</strong> {streamSource}. Ta akcja zatrzyma każdą sesję, którą już prowadzisz, lub sesje aktualnie uruchomione w tym samym {streamSource}.
msg.sessions.running.end.and.start;You are trying to end the <strong>{leaveSession} </strong> session and start the <strong>{joinSession}</strong>  session in the <strong>{streamSourceLabel}</strong> {streamSource}. This action will stop any session that you are already hosting or sessions that are currently running in the same {streamSource}.;Próbujesz zakończyć sesję <strong>{leaveSession}</strong> i rozpocząć sesję <strong>{joinSession}</strong> w <strong>{streamSourceLabel}</strong> {streamSource}. Ta akcja zatrzyma każdą sesję, którą już prowadzisz, lub sesje aktualnie trwające w tym samym {streamSource}.
lbl.track;Track;Ścieżka
lbl.hall;Hall;Hol
msg.stop.recording;This action will stop the ongoing recording.;Ta akcja zatrzyma trwające nagrywanie.
lbl.stop;Stop;Zatrzymaj
msg.cant.start.webcast.stream.tba.session;This session can't be started as the webcast stream is not configured. Please configure webcast stream to start it.;Nie można rozpocząć tej sesji, ponieważ transmisja webcast nie jest skonfigurowana. Skonfiguruj transmisję webcast, aby ją uruchomić.
lbl.enter.stage;Enter Stage;Wejdź na scenę
msg.mic.access.approve.modal.confirm;The Panelist has enabled your mic access. Click <b>Enter Stage</b> to start speaking;Uczestnik włączył dostęp do Twojego mikrofonu. Kliknij <b>Wejdź na scenę</b>, aby zacząć mówić
msg.error.vc.multiple.tab;Looks like you've joined the <strong>{eventName}</strong> event in more than one tab. Click <strong>here</strong> to join the event in this window.;Wygląda na to, że dołączyłeś do wydarzenia <strong>{eventName}</strong> w więcej niż jednej karcie. Kliknij <strong>tutaj</strong>, aby dołączyć do wydarzenia w tym oknie.
lbl.join.here;Join Here;Dołącz tutaj
lbl.leave.stage;Leave Stage;opuść scenę
msg.room.wms.server.down.error;Sorry, the messaging server is down. Please try again later.;Przepraszam, serwer wiadomości jest niedostępny. Spróbuj ponownie później.
msg.leave.stage.modal.confirm;This action will remove you from the stage;Ta akcja usunie Cię ze sceny
lbl.abstract.reviewers;Abstract Reviewer;Recenzent abstraktów
lbl.choose.image;Choose Image;Wybierz obraz
lbl.select;Select;Wybierz
lbl.recent;Recent;Ostatnie
lbl.ascending;Ascending;Rosnąco
lbl.descending;Descending;malejąco
lbl.upload.image;Upload Image;Prześlij obraz
msg.upload.image.design.library;Upload images to your Design Library;Prześlij obrazy do swojej biblioteki projektów
lbl.event.logo;Event Logo;Logo wydarzenia
msg.success.conf.setting.save;Settings preferences saved;Preferencje ustawień zapisane
msg.error.conf.setting.save;Sorry, the settings preferences couldn't be saved. Please try again later.;Niestety, nie udało się zapisać ustawień. Spróbuj ponownie później.
lbl.session.stage.background;Session Stage Background;Tło etapu sesji
lbl.expo.stage.background;Booth Background;Tło stoiska
lbl.no.image.added;No Image Added;Nie dodano obrazu
lbl.video.effects;Video Effects;Efekty wideo
lbl.previous;Prev;Poprzedni
msg.poll.submitted;Poll submitted;Ankieta wysłana
lbl.ended.session;Ended Session;Zakończono sesję
msg.live.coming.forth.sessions;Live and coming forth sessions;Trwające i nadchodzące sesje
msg.vc.bg.layer.override;Default background;Domyślne tło
msg.vc.bg.theme.overridden;Ambience changes made in accessibility options won't reflect for attendees. To change the event ambience for attendees, use the above option.;Zmiany w tle w opcjach dostępności nie będą widoczne dla uczestników. Aby zmienić tło wydarzenia dla uczestników, użyj powyższej opcji.
msg.no.vc.bg.select;No default background selected;Nie wybrano domyślnego tła
lbl.reset.vc.bg;Reset to Default;Przywróć domyślne
lbl.category.sponsors;{categoryName} Sponsors;Sponsorzy {categoryName}
lbl.category.sponsor;{categoryName} Sponsor;Sponsor {categoryName}
lbl.no.of.visitor;1 Visitor;1 uczestnik
lbl.no.of.visitors;{visitorCount} Visitors;{visitorCount} uczestników
lbl.no.of.meeting;1 Meeting;1 spotkanie
lbl.no.of.meetings;{meetingCount} Meetings;{meetingCount} spotkań
msg.live.coming.forth.sessions;Live and coming forth sessions;Trwające i nadchodzące sesje
msg.unable.to.share.screen;Unable to share your screen;Nie możesz udostępnić ekranu
lbl.open.system.pref;Open System Preferences;Otwórz Preferencje systemowe
msg.mac.os.screen.share.perm.desc;If you're on MacOS, open system preferences, go to Security and privacy and grant access to screen recording;Jeśli jesteś na MacOS, otwórz preferencje systemowe, przejdź do Bezpieczeństwo i prywatność i przyznaj dostęp do nagrywania ekranu
lbl.share.ppt.window.warn;Share Window to Deliver Presentation?;Udostępnić okno, aby prowadzić prezentację?
lbl.share.window;Share Window;Udostępnij okno
lbl.share.window.to.audience;Share Window to Audience?;Udostępnić okno uczestnikom?
msg.room.share.ppt.window.ins1;Select the <strong>Presentation Window</strong> in the <i>Screen share</i> popup to share only your presentation and avoid sharing other content on your screen or window.;Wybierz <strong>okno prezentacji</strong> w oknie <i>Udostępnianie ekranu</i>, aby udostępnić tylko swoją prezentację i nie pokazywać innych treści z ekranu lub okna.
msg.room.share.ppt.ins2;Next, go to the Virtual space in Zoho Backstage to deliver your presentation with the help of session tools.;Następnie przejdź do wirtualnej przestrzeni w Zoho Backstage, aby poprowadzić prezentację z pomocą narzędzi sesji.
msg.room.ppt.window.not.share.warn;It looks like you haven't selected the <strong>Presentation Window</strong> in the <i>Screen share</i> popup. It is recommended to only share the window in which your presentation is displayed so that other content on your screen or window, which is not essential for your session, is not shared to your audience. Please select the option you would like to proceed with.;Wygląda na to, że nie wybrałeś <strong>okna prezentacji</strong> w oknie <i>Udostępnianie ekranu</i>. Zalecam udostępniać tylko okno z prezentacją, aby inni nie widzieli niepotrzebnych treści z Twojego ekranu lub okien. Wybierz opcję, z którą chcesz kontynuować.
msg.proceed.selected.screen.share;Proceed with selected option;Kontynuuj z wybraną opcją
lbl.event.ambience;Event Ambience;Atmosfera wydarzenia
lbl.direct.messages;Direct Messages;Wiadomości bezpośrednie
msg.back.to.all.participants;Back to all participants;Wróć do wszystkich uczestników
lbl.chat.with.participant;Chat with Participant;Czat z uczestnikiem
lbl.schedule.meeting;Schedule Meeting;Zaplanuj spotkanie
lbl.lounge;Lounge;Strefa lounge
lbl.event;Event;wydarzenie
msg.current.user.direct.msg.turned.off;You've turned off direct messages in your privacy preferences. Enable it to start chatting.;Wyłączyłeś wiadomości bezpośrednie w swoich ustawieniach prywatności. Włącz je, aby rozpocząć czat.
msg.user.direct.msg.turned.off;{userName} has turned off direct messages in their privacy preferences;{userName} wyłączył wiadomości bezpośrednie w swoich ustawieniach prywatności
msg.success.event.user.preference.save;Preferences saved;Preferencje zapisane
msg.error.event.user.preference.save;We are unable to save your preference;Nie możemy zapisać Twojego ustawienia
msg.direct.chat.desc;Allow event participants to send direct messages through chat;Pozwól uczestnikom wydarzenia wysyłać wiadomości bezpośrednie przez czat
msg.user.meetings.setting.desc;Configure your availability and allow event participants to schedule meetings with you;Skonfiguruj swoją dostępność i pozwól uczestnikom wydarzenia umawiać z Tobą spotkania
msg.make.profile.public.desc;Allow event participants to view your profile page including your full name, company, and title. If your profile visibility is turned off, participants won't be able to see your profile.;Pozwól uczestnikom wydarzenia zobaczyć Twój profil, w tym pełne imię i nazwisko, firmę oraz stanowisko. Jeśli widoczność profilu jest wyłączona, uczestnicy nie zobaczą Twojego profilu.
lbl.privacy.preferences;Privacy Preferences;Preferencje prywatności
lbl.one.on.one.meetings;1-on-1 Meetings;Spotkania 1 na 1
lbl.make.profile.public;Make Profile Public;Upublicznij profil
lbl.my.meetings;My Meetings;Moje spotkania
lbl.upcoming.meetings;Upcoming Meetings;Nadchodzące spotkania
lbl.completed.meetings;Completed Meetings;Zakończone spotkania
lbl.join.meeting;Join Meeting;Dołącz do spotkania
lbl.meetings;Meetings;Spotkania
lbl.availability.meetings;Availability for Meetings;Dostępność na spotkania
lbl.meeting.slot.configuration;Meeting Slot Configuration;Konfiguracja slotu spotkania
msg.meeting.availability.description;Let participants know that you'll be available for 1-on-1 meetings;Poinformuj uczestników, że będziesz dostępny na spotkania 1:1
