Reference Key;Default Language;pl
msg.you.are.presenting;You are presenting;
msg.preview.not.available;Preview not available;
msg.av.preference.settings;Audio and video preferences;
msg.theater.mode;Theater mode;
msg.no.active.panelists;No active panelists;
msg.room.sharing.screen.msg;You are currently sharing your screen;
msg.room.click.to.show.shared.screen;View what you are presenting to attendees here;
msg.switch.off.video.optimal.performance;Your internet's speed appears to be slow. We're stopping the video stream to ensure there's no interruption during the session.;
msg.waiting.for.mic.approval;Waiting for host to accept request...;
msg.room.question.projected;Question projected successfully;
msg.room.anon.qn.helptext;Before you ask a question anonymously, take a moment to think if you would ask the same question otherwise. Anonymous questions can't be deleted after they are posted.;
msg.enter.room.question;Please enter your question;
msg.enter.room.qn.reply;Please enter your reply;
msg.room.question.max.len.error;The question's length cannot exceed 350 characters;
msg.room.com.server.connection.fail;The media server connection could not be initiated. Please check your internet connection and reload your screen.;
msg.room.net.connection.fail;We are unable to connect to the media server. Please check your internet connection.;
msg.room.connection.retries.fail;You're disconnected from the audio/video data transmission for this session. Follow the steps below to connect again.;
msg.room.connection.fail.ins1;Ensure that you join this session from only one browser tab. If the same session is open in other tabs or devices, please close them.;
msg.room.connection.fail.ins2;Check to see if your internet connection is stable.;
msg.room.connection.fail.ins3;Refresh the page after all the above conditions are met to retry connecting to your session. If the issue continues to persist, please write to {supportMail}.;
msg.room.com.server.connection.fail.reinit;Re-establishing communication server due to an interruption in internet connection.;
msg.room.broadcast.checklist.parameters.not.compatible;Your current browser doesn't meet some of the required parameters. Please join the session from Chrome (55+) or Firefox (54+).;
msg.room.multiple.device.connect.warn.title;Continue session from this device?;
msg.room.multiple.device.connect.warn.info;You seem to have joined this session from multiple devices. If you wish to continue here, please note that you'll be disconnected from other devices for this session.;
msg.room.multiple.device.connect.error.info;This device's connection to the session has been suspended as it seems that you have already connected to the same session from another device.;
lbl.disconnect.here;Disconnect Here;
lbl.continue.here;Continue Here;
msg.room.video.subscriber.fallback.error;Your internet connection is currently unstable, so {memberName} video may not be visible to you. It will be restored automatically when your internet connection improves.;
msg.show.results.to.everyone;Show results to everyone;
msg.kindly.wait.for.a.while;Please wait for the panelists to join the session;
msg.camera.access.granted;Camera access provided;
msg.mic.access.granted;Mic access provided;
msg.big.cursor;Increase the size of your cursor to easily locate it.;
msg.adjust.contrast;Improve overall legibility and definition by increasing the contrast of text, interactive elements, separators, and outlines.;
msg.adjust.reading.guide;Improve focus by highlighting the text you're reading and masking the rest.;
msg.underline.links;Increase the visibility of links with an underline.;
msg.screen.zoom;Adjust the zoom level of your screen until the page is easy to view.;
msg.adjust.saturation;Adjust the saturation level based on your preference.;
msg.adjust.colors;Grayscale filters remove all colors from the screen, displaying everything in shades of gray.;
msg.keyboard.shortcuts;Enable users to navigate across the help desk and perform actions quickly using the keyboard.;
msg.reading.line;Allow users to enable a helpful reading line on the webpage.;
msg.screen.reading;Narrates the content on the screen using voice and visual captions to help users perceive the presented information more efficiently.;
msg.skip.main.content;Lets users bypass repeated elements and directly reach the main content of the page.;
msg.highlight.critical.info;Displays critical information, such as ticket ID, ticket owner, and contact details, in a striking color.;
msg.toast.notification;Toasts are short, time-sensitive notifications that appear after an action is performed.;
msg.toast.time.control.subHeading;Turn off or adjust the time limit of success messages to ensure you have enough time to read and comprehend them.;
msg.auto.close.desc;The notifications automatically close or disappear after a specified duration.;
msg.manual.close.desc;The notifications stay open until the user manually closes them.;
msg.emphasize.focus;Indicates the size and clickability of the focus area by adding a border.;
lbl.view.shortcuts;View Shortcuts;
lbl.stack.view;Stack;
lbl.a11y.page.navigator;Page Navigator;
lbl.a11y.page.navigator.description;Lets User Navigate to a Specific Part of the Page Using the Keyboard.;
lbl.session.speakers;Session Speakers;
lbl.session.materials;Session Materials;
lbl.session.material;Session Material;
lbl.publishing.stream;Displaying Session Material;
lbl.broadcast.session;Broadcast Session;
lbl.bookmark.session;Bookmark Session;
lbl.panelists;Panelists;
lbl.remove.session.bookmark;Remove Session Bookmark;
lbl.handouts;Handouts;
msg.room.verify.broadcast.session;Verifying session broadcast;
msg.conf.session.will.broadcast.shortly;This session will begin shortly;
msg.conf.upcoming.session.at;Upcoming session at {time};
msg.conf.session.start.broadcasting;The session is being broadcast now;
msg.session.no.active.panelists;No active panelists in session;
msg.session.panelists.shown.after.broadcast;Panelists will be shown here once the session begins.;
msg.session.joined.attendees.empty;Once attendees start joining the session, they will be listed here.;
msg.session.attendees.shown.after.broadcast;All attendees who've joined the session will be listed here once the session begins.;
msg.session.qns.panelists.empty;Questions from attendees will be listed here once the session begins.;
msg.session.questions.broadcast.empty;Once the session begins, you can ask the panelists questions from here.;
msg.session.no.polls;There are no polls for this session;
msg.session.no.polls.to.display;Once the session begins, you can respond to active polls from here.;
msg.session.create.poll.with.attendees;Polls haven't been added for this session. You can add one now or at any point during the session to engage with attendees.;
msg.session.configure.polls.no.permission;You can't add any polls during the session to engage with attendees.;
msg.session.handouts.empty;There are no handouts for this session;
msg.session.start.chat.empty;Start a conversation with members in the session;
msg.session.start.chat.panelist.empty;Start a conversation with panelists in this session;
msg.session.start.chat.broadcast.empty;Once the session begins, you can chat with members in the audience from here.;
msg.session.leave.and.join.lounge.title;Leave session and join lounge?;
msg.session.leave.and.join.lounge.content;You're about to leave an ongoing session and join the <strong>{tableName}</strong> lounge. If you want to attend this session later, you will have to rejoin again.;
msg.session.leave.and.enter.booth.title;Leave session and enter booth?;
msg.session.leave.and.enter.booth.content;You are about to leave an ongoing session and join the <strong>{boothName}</strong> booth. If you want to attend this session later, you will have to rejoin again.;
msg.speaker.notification.sent.title;Notification sent to speaker;
msg.speaker.notification.sent.content;An email has been sent to the speaker asking them to join the session;
msg.speakers.notification.sent.title;Notification sent to speakers;
msg.speakers.notification.sent.content;An email has been sent to all the speakers asking them to join the session;
msg.notify.speakers.to.join;Notify speakers to join;
lbl.booth.info;Booth Info;
lbl.expo.logo;Exhibitor Logo;
msg.expo.meeting.duration;Exhibitor meeting active duration;
msg.session.active.duration;Session active duration;
lbl.toggle.session.broadcast;Toggle Session Broadcast;
lbl.chat.with.user;Chat with {user};
msg.toggle.one.on.one.meeting;1-on-1 meeting toggle;
msg.appointment.more.menu.for;Appointment more menu for {user};
lbl.remaining.users;Remaining Users;
lbl.close.question.projector;Close Question Projector;
lbl.session.duration;Session Duration;
msg.close.poll.projector;Close poll projector;
lbl.booth.members;Booth Members;
lbl.event.participants;Event Participants;
lbl.search.meeting.members;Search Meeting Members;
lbl.waiting.room;Waiting Room;
lbl.end.meeting;End Meeting;
lbl.leave.meeting;Leave Meeting;
lbl.booth.activities;Booth Activities;
lbl.visitors;Visitors;
lbl.other.exhibitors;Other Exhibitors;
lbl.end.meeting.enter;End Meeting & Enter;
lbl.leave.booth;Leave Booth;
lbl.my.booth;My Booth;
lbl.meeting.history;Meeting History;
lbl.end.booth.meeting;End Booth Meeting?;
lbl.leave.booth.meeting;Leave Booth Meeting?;
msg.expo.booth.member.empty;No active booth members available;
msg.expo.chat.empty;Start a conversation with booth members and other attendees in the meeting room;
msg.expo.visitors.empty;Once visitors start joining the meeting, they will be listed here.;
msg.expo.attendee.questions.empty;Have a question for the booth members? Ask here.;
msg.expo.questions.empty;When a visitor asks a question, it'll be listed here.;
msg.expo.lounge.empty;Visitors requesting to join the meeting will be listed here;
msg.expo.booth.activities.active.empty;No ongoing meetings;
msg.expo.booth.activities.completed.empty;Completed meetings will be displayed here;
msg.expo.booth.members.engaged;All booth members are engaged in meetings;
msg.booth.participant.leave.meeting.enter.booth;You are already in a meeting in the <strong>{currentBooth}</strong> booth. This action will remove you from this meeting and will allow you to enter the <strong>{boothName}</strong> booth.;
msg.booth.member.booth.leave.enter.booth;This action will remove you from your booth and will allow you to enter the <strong>{boothName}</strong> booth. You will not be able to engage with any visitor to your booth, unless you join back here.;
msg.booth.participant.lounge.leave.enter.booth;This action will remove you from the meeting lounge in the <strong>{currentBooth}</strong> booth and allow you to enter the <strong>{boothName}</strong> booth.;
msg.booth.member.end.meeting.enter.booth;You are the host of a meeting in the <strong>{currentBooth}</strong> booth and are trying to visit the <strong>{boothName}</strong> booth. This action will end the current meeting for you and all participants involved. You will then be allowed to enter the <strong>{boothName}</strong> booth.;
msg.booth.member.meeting.leave.join.lounge;You're about to leave an ongoing meeting that you're hosting in the <strong>{currentBooth}</strong> booth and join the <strong>{tableName}</strong> lounge. This action will stop the ongoing booth meeting for all the meeting participants involved.;
msg.booth.participant.meeting.leave.join.lounge;You're about to leave an ongoing meeting in the <strong>{currentBooth}</strong> booth and join the <strong>{tableName}</strong> lounge. If you want to participate in this booth meeting later, you will have to rejoin again.;
msg.booth.member.booth.leave.join.lounge;You're about to leave your booth and join the <strong>{tableName}</strong> lounge. You will not be able to engage with any visitor in your booth, unless you join back here again.;
msg.booth.participant.lounge.leave.join.lounge;This action will remove you from the waiting room in the <strong>{currentBooth}</strong> booth and allow you to join the <strong>{tableName}</strong> lounge.;
msg.booth.member.meeting.leave.join.session;You are about to leave an ongoing meeting that you are hosting in the <strong>{currentBooth}</strong> booth and join the <strong>{sessionName}</strong> session. This action will stop the ongoing booth meeting for all the meeting participants involved.;
msg.booth.participant.meeting.leave.join.session;You are about to leave an ongoing meeting in the <strong>{currentBooth}</strong> booth and join the <strong>{sessionName}</strong> session. If you want to participate in this booth meeting later, you will have to rejoin again.;
msg.booth.member.booth.leave.join.session;You are about to leave your booth and join the <strong>{sessionName}</strong> session. You will not be able to engage with any visitor to your booth, unless you join back here.;
msg.booth.participant.lounge.leave.join.session;This action will remove you from the waiting room in the <strong>{currentBooth}</strong> booth and allow you to join the <strong>{sessionName}</strong> session.;
msg.booth.member.meeting.leave.rehearse.session;You are about to leave an ongoing meeting that you are hosting in the <strong>{currentBooth}</strong> booth to start a rehearsal for the <strong>{sessionName}</strong> session. This action will stop the ongoing booth meeting for all the meeting participants involved.;
msg.booth.participant.meeting.leave.rehearse.session;You are about to leave an ongoing meeting in the <strong>{currentBooth}</strong> booth to start a rehearsal for the <strong>{sessionName}</strong> session. If you want to participate in this booth meeting later, you will have to rejoin again.;
msg.booth.member.booth.leave.rehearse.session;You are about to leave your booth to start a rehearsal for the <strong>{sessionName}</strong> session. You will not be able to engage with any visitor to your booth, unless you join back here;
msg.booth.participant.lounge.leave.rehearse.session;This action will remove you from the waiting room in the <strong>{currentBooth}</strong> booth and allow you to start a rehearsal for the <strong>{sessionName}</strong> session.;
msg.booth.member.meeting.leave.start.session;You are about to leave an ongoing meeting that you are hosting in the <strong>{currentBooth}</strong> booth to start the <strong>{sessionName}</strong> session. This action will stop the ongoing booth meeting for all the meeting participants involved.;
msg.booth.participant.meeting.leave.start.session;You are about to leave an ongoing meeting in the <strong>{currentBooth}</strong> booth to start the <strong>{sessionName}</strong> session. If you want to participate in this booth meeting later, you will have to rejoin again.;
msg.booth.member.booth.leave.start.session;You are about to leave your booth to start the <strong>{sessionName}</strong> session. You will not be able to engage with any visitor to your booth, unless you join back here;
msg.booth.participant.lounge.leave.start.session;This action will remove you from the waiting room in the <strong>{currentBooth}</strong> booth and allow you to start the <strong>{sessionName}</strong> session.;
msg.booth.member.meeting.leave.restart.session;You are about to leave an ongoing meeting that you are hosting in the <strong>{currentBooth}</strong> booth to restart the <strong>{sessionName}</strong> session. This action will stop the ongoing booth meeting for all the meeting participants involved.;
msg.booth.participant.meeting.leave.restart.session;You are about to leave an ongoing meeting in the <strong>{currentBooth}</strong> booth to restart the <strong>{sessionName}</strong> session. If you want to participate in this booth meeting later, you will have to rejoin again.;
msg.booth.member.booth.leave.restart.session;You are about to leave your booth to restart the <strong>{sessionName}</strong> session. You will not be able to engage with any visitor to your booth, unless you join back here;
msg.booth.participant.lounge.leave.restart.session;This action will remove you from the waiting room in the <strong>{currentBooth}</strong> booth and allow you to restart the <strong>{sessionName}</strong> session.;
msg.booth.member.meeting.leave;You are about to end an ongoing meeting that you are hosting in the <strong>{currentBooth}</strong> booth. This action will stop the ongoing booth meeting for all the meeting participants involved.;
msg.booth.participant.meeting.leave;You are about to leave an ongoing meeting in the <strong>{currentBooth}</strong> booth. If you want to participate in this booth meeting later, you will have to rejoin again.;
msg.booth.member.booth.leave;You are about to leave your booth. You will not be able to engage with any visitor to your booth, unless you join back here;
msg.booth.participant.lounge.leave;This action will remove you from the waiting room in the <strong>{currentBooth}</strong> booth.;
msg.booth.title.end.meeting.join.session;End booth meeting and join session?;
msg.booth.title.leave.meeting.join.session;Leave booth meeting and join session?;
msg.booth.title.leave.booth.join.session;Leave your booth and join session?;
msg.booth.title.end.meeting.start.session;End booth meeting and start session?;
msg.booth.title.leave.meeting.start.session;Leave booth meeting and start session?;
msg.booth.title.leave.booth.start.session;Leave your booth and start session?;
msg.booth.title.end.meeting.restart.session;End booth meeting and restart session?;
msg.booth.title.leave.meeting.restart.session;Leave booth meeting and restart session?;
msg.booth.title.leave.booth.restart.session;Leave your booth and restart session?;
msg.booth.title.end.meeting.rehearse.session;End booth meeting and start session rehearsal?;
msg.booth.title.leave.meeting.rehearse.session;Leave booth meeting and start session rehearsal?;
msg.booth.title.leave.booth.rehearse.session;Leave your booth and start session rehearsal?;
msg.booth.title.end.meeting.join.lounge;End booth meeting and join lounge?;
msg.booth.title.leave.meeting.join.lounge;Leave booth meeting and join lounge?;
msg.booth.title.leave.booth.join.lounge;Leave booth and join lounge?;
msg.booth.title.leave.meeting.enter.booth;Leave meeting and enter another booth?;
msg.booth.title.end.meeting.enter.booth;End booth meeting and enter another booth?;
msg.booth.title.leave.booth.enter.booth;Leave your booth and enter another booth?;
msg.share.phone.num;Also share my phone number;
lbl.leave.lounge;Leave Lounge;
lbl.leave.lounge.title;Leave Lounge?;
lbl.search.participants;Search Participants;
msg.lounge.no.active.participants;No active participants in the lounge;
msg.lounge.create.poll;Polls haven't been configured for this lounge. You can add one now to engage with other participants.;
msg.lounge.start.chat.empty;Start a conversation with participants in the lounge;
msg.leave.lounge.sub;You're about to leave a lounge. If you want to interact with participants in this lounge later, you will have to rejoin again.;
msg.lounge.active.users;Active users - {tableName} lounge;
msg.lounge.leave.and.join.session.title;Leave lounge and join session?;
msg.lounge.leave.and.join.session.content;You're about to leave a lounge and join the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;
msg.lounge.leave.and.start.session.title;Leave lounge and start session?;
msg.lounge.leave.and.start.session.content;You're about to leave a lounge and start the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;
msg.lounge.leave.and.restart.session.title;Leave lounge and restart session?;
msg.lounge.leave.and.restart.session.content;You're about to leave a lounge and restart the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;
msg.lounge.leave.and.rehearse.session.title;Leave lounge and rehearse session?;
msg.lounge.leave.and.rehearse.session.content;You're about to leave a lounge and rehearse the <strong>{sessionName}</strong> session. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;
msg.lounge.leave.and.enter.booth.title;Leave lounge and enter booth?;
msg.lounge.leave.and.enter.booth.content;You're about to leave a lounge and join the <strong>{boothName}</strong> booth. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;
msg.lounge.leave.and.join.new.lounge.content;You're about to leave a lounge and join the <strong>{tableName}</strong> lounge. If you want to interact with participants in the <strong>{leavingTable}</strong> lounge later, you will have to rejoin again.;
lbl.share.material;Share Material;
lbl.add.emoji;Add Emoji;
lbl.more.options;More Options;
lbl.about.event;About Event;
lbl.participants;Participants;
lbl.booth.rehearse.mode;Booth Rehearse Mode;
lbl.filter.bookmark.sessions;Filter Bookmarked Sessions;
lbl.event.team.member;Event Team Member;
lbl.event.team;Event Team;
lbl.event.speaker;Event Speaker;
lbl.event.exhibitor;Event Exhibitor;
lbl.search.panelists;Search Panelists;
lbl.co.hosts;Co-Hosts;
lbl.search.visitors;Search Visitors;
lbl.search.requests;Search Requests;
lbl.search.booth.members;Search Booth Members;
lbl.viewing;Viewing;
lbl.seats.available;Seats Available;
lbl.open.sessions.pane;Open Sessions Tab;
lbl.view.less;View Less;
lbl.view.more;View More;
lbl.started.at;Started at {time};
lbl.send.message;Send Message;
lbl.ended.at;Ended at {time};
lbl.waiting.for.broadcast;Waiting for Broadcast;
lbl.exhibitors;Exhibitors;
lbl.admit.this.meeting;Admit in This Meeting;
lbl.start.new.meeting;Start New Meeting;
lbl.end.session.title;End an Ongoing Session?;
lbl.end;End;
lbl.leave.current.meeting.qn;Leave Current Meeting?;
lbl.leads;Leads;
lbl.attendees;Attendees;
lbl.engage;Engage;
lbl.go.to.waiting.room;Go to Waiting Room;
lbl.active.meetings;Active Meetings;
msg.go.to.waiting.room.info.one.visitor;You have 1 visitor in the waiting room. Start a meeting to engage with them.;
msg.go.to.waiting.room.info.n.visitor;You have {visitorCount} visitors in the waiting room. Start a meeting to engage with them.;
lbl.meet.visitor.now;Meet Visitor Now?;
lbl.sponsor;Sponsor;
lbl.end.session;End Session;
lbl.host;Host;
lbl.booth.host;Booth Host;
lbl.event.team.members;Event Team Members;
lbl.live.session;Live Session;
lbl.live.sessions;Live Sessions;
lbl.upcoming.sessions;Upcoming Sessions;
lbl.right.navigation;Right Navigation;
lbl.left.navigation;Left Navigation;
lbl.menu;Menu;
lbl.completed.sessions;Completed Sessions;
lbl.end.restart;End and Restart;
lbl.end.start;End and Start;
lbl.restart.session;Restart Session;
lbl.restart;Restart;
lbl.other.members;Other Members;
lbl.available.members;Available Members;
lbl.exit;Exit;
lbl.welcome.member;Welcome {memberName};
lbl.view.booth.activities;View Booth Activities;
lbl.hi.member;Hi {memberName};
lbl.view.other.exhibitors;View Other Exhibitors;
lbl.lead.quality;Lead Quality;
lbl.hot;Hot;
lbl.cold;Cold;
lbl.warm;Warm;
lbl.not.specified;Not Specified;
lbl.meeting;Meeting;
lbl.booth.member;Booth Member;
lbl.sponsor.as.bm;Booth Member - Sponsor;
lbl.visitor;Visitor;
lbl.bm.as.visitor;Visitor - Event Exhibitor;
lbl.sponsor.as.visitor;Visitor - Sponsor;
lbl.speaker.as.visitor;Visitor - Speaker;
lbl.meeting.in.progress;Meeting in Progress;
lbl.co.host;Co-Host;
lbl.rehearse.session;Rehearse Session;
lbl.start.session;Start Session;
lbl.no.of.stars;No of Stars;
lbl.3.stars;3 Stars;
lbl.5.stars;5 Stars;
lbl.10.stars;10 Stars;
lbl.star;Star;
lbl.answered;Answered;
lbl.not.answered;Not Answered;
lbl.playing;Playing;
lbl.poll.number;Poll {number};
lbl.modify;Modify;
lbl.participate;Participate;
lbl.edit.poll;Edit Poll;
lbl.create.poll;Create Poll;
lbl.no.unanswered.questions;There Are No Unanswered Questions;
lbl.chat;Chat;
lbl.love.it;LOVE IT;
lbl.super;Super;
lbl.insightful;Insightful;
lbl.wow;Wow;
lbl.clap;Clap;
lbl.lol;Lol;
lbl.disagree;Disagree;
lbl.results.shown;Results Shown;
lbl.question.count;Question {count};
lbl.poll.type;Poll Type;
lbl.answer.index;Answer {index}: {answer};
lbl.n.stars;{count} Stars;
lbl.test;Test;
lbl.you;You;
lbl.reactions;Reactions;
lbl.poll.title;Poll Title;
lbl.add.question;Add Question;
lbl.answers;Answers;
lbl.n.option;Option {n};
lbl.add.option;Add Option;
lbl.start;Start;
lbl.view.result;View Result;
lbl.anonymous;Anonymous;
lbl.sort.by;Sort By;
lbl.deny;Deny;
lbl.video;Video;
lbl.none;None;
lbl.reply;Reply;
lbl.left;Left;
lbl.delete.question;Delete Question;
lbl.single.choice;Single Choice;
lbl.checkbox;Checkbox;
lbl.multiple.choice;Multiple Choice;
lbl.rating;Rating;
lbl.questions;Questions;
lbl.polls;Polls;
lbl.agree;Agree;
lbl.poll.results;Poll Results;
lbl.votes;Votes;
lbl.submit;Submit;
lbl.reload;Reload;
lbl.n.star;{count} Star;
msg.session.talk.running;Session is currently running;
msg.end.session.confirm;You can end this session for you and for all participants involved. Alternatively, you can choose to exit this session without stopping the session for other participants.;
msg.exit.booth.success;You have exited the booth;
msg.participant.left.from.meeting;You have exited from the meeting;
msg.exhibitor.room.run.ended;Meeting has been ended successfully;
msg.view.live.sessions.from.sessions.pane;Join other live sessions from the <strong>Sessions</strong> tab;
msg.view.rehearse.sessions.from.sessions.pane;Join other session rehearsals from the <strong>Sessions</strong> tab;
msg.warn.agenda.on.air.addon.needed.each.event.day;The Backstage OnAir add-on is needed for each event day in order to present sessions;
msg.warn.agenda.on.air.addon.needed.present.sessions;The Backstage OnAir add-on is needed to present sessions for this day;
msg.meet.now.description;You can choose to admit the selected visitors into the current meeting or start a new meeting with them;
msg.meeting.ended.success;You've ended the meeting successfully;
msg.visitors.added.leads;Visitors have been added as leads.;
msg.no.visitors.added.leads;No leads have been added from this meeting;
msg.change.leads.status.comment;Click here to add comments or change the lead status;
msg.error.unable.to.leave.the.lounge;Sorry, unable to leave the waiting room. Please try again later.;
msg.profile.data.change.info;Changes made will reflect across all the events on <b>{domain}</b>;
msg.ticket.data.change.info;Changes made will reflect in the ticket details of this event;
msg.start.new.meeting.description.host;You are the host of the ongoing meeting. When you start a new meeting, the ongoing meeting will end and a new meeting will begin with the selected visitors.;
msg.start.new.meeting.description.booth.member;When you start a new meeting, you will be removed from the current meeting and a new meeting will begin with the selected visitors.;
msg.error.lead.comment.invalid;The comment can't include < and >. Please enter a valid comment.;
msg.success.exhibitor.lead.saved;Exhibitor lead updated;
msg.error.exhibitor.lead.saved;Sorry, unable to update exhibitor lead. Please try again later.;
msg.one.visitors.waiting.lounge;You have 1 visitor in the waiting room;
msg.n.visitors.waiting.lounge;You have {count} visitors in the waiting room;
msg.one.visitor.selected;1 visitor selected;
msg.n.visitors.selected;{count} visitors selected;
msg.selected.participants.joined.another.room;The participants {participantList} were joined in another meeting room.;
msg.start.new.session;Start a new session?;
msg.session.talk.restart.confirm;This session will be restarted. All current session interactions, including polls, Q&A, and chat, will be moved to the session history. A new session will be created with a fresh interaction panel.;
msg.session.rehearsal.running.end.and.start;You are trying to rehearse the <strong>{sessionName}</strong> session in the <strong>{laneSourceLabel}</strong> {laneSource}. This action will stop any session that you are already hosting or sessions that are currently running in the same {laneSource}.;
msg.no.visitors.in.lounge;No visitors in the waiting room;
msg.error.unable.to.enter.expo.room;Sorry, unable to enter the meeting. Please try again later.;
msg.error.unable.to.fetch.panelist;Sorry, unable to fetch the panelist's details. Please try again later.;
msg.error.unable.to.end.expo.room.run;Sorry, unable to end the meeting. Please try again later.;
msg.waiting.room.description;Please wait until the exhibitor lets you in the meeting room;
msg.error.request.raised.another.booth;You have already requested to meet booth members in the {companyName} booth.;
msg.error.meeting.in.another.booth;You are already in a meeting with booth members in the {companyName} booth.;
msg.present.session.only.session.day;Sessions can only be presented on the specified event day;
msg.answered.qns.will.show.here;Answered questions will be displayed here;
msg.polls.participate.persons.count.plural;{count} people answered the poll;
msg.polls.participate.persons.count.single;{count} person answered the poll;
msg.please.wait.while.checking;Please wait while we check your device...;
msg.enter.poll.question;Enter the poll question here;
msg.error.poll.title.empty;Poll title cannot be empty;
msg.error.poll.title.invalid;Please provide a valid poll title;
msg.error.poll.title.too.long;Poll title can't exceed 350 characters;
msg.error.poll.question.empty;Please enter the question for the poll;
msg.error.poll.question.invalid;Please provide a valid poll question;
msg.error.poll.option.empty;Please provide options for the poll question;
msg.error.poll.option.invalid;Please provide a valid poll question option;
msg.error.poll.option.too.long;Option can't exceed 350 characters;
msg.error.poll.option.already.present;The option yout are trying to add is already present;
msg.question.delete.confirm;This action will remove the question along with its associated replies;
msg.success.question.delete;Question deleted;
msg.error.video.upload.extn;The {fileExtn} video type is not supported;
msg.poll.delete.confirm;This action will remove this poll along with its associated options or settings. Would you like to delete this poll from this session?;
msg.poll.delete.success;Poll deleted;
lbl.leave.waiting.room;Leave Waiting Room;
msg.picked.up.details.many;<b>{pickedBy}</b> picked {count} visitors from waiting room;
msg.picked.up.details.one;<b>{pickedBy}</b> picked 1 visitor from waiting room;
lbl.exit.event;Exit Event;
msg.exit.virtual.space.warning.description;This action will take you out of the event and close this window. You can re-enter this event anytime before it ends.;
msg.booth.member.only.room.info;This is a member-only space. Discuss booth activities with other members from your exhibiting team or start a meeting with the visitors in the waiting room.;
msg.expo.booth.members.joined;All booth members have joined the booth;
msg.expo.booth.available.members.engaged;All available booth members are engaged in meetings;
msg.booth.title.leave.waiting.room.join.session;Leave waiting room and join session?;
msg.booth.title.leave.waiting.room.start.session;Leave waiting room and start session?;
msg.booth.title.leave.waiting.room.restart.session;Leave waiting room and restart session?;
msg.booth.title.leave.waiting.room.rehearse.session;Leave waiting room and start session rehearsal?;
msg.booth.title.leave.waiting.room.join.lounge;Leave waiting room and join lounge?;
msg.booth.title.leave.waiting.room.enter.booth;Leave waiting room and enter another booth?;
lbl.leave.waiting.room.qn;Leave Waiting Room?;
lbl.leave.booth.qn;Leave Booth?;
lbl.yet.to.join;Yet to Join;
lbl.booth.meetings;Booth Meetings;
lbl.member.only.room;Member-Only Room;
lbl.filter.bookmark.exhibitors;Filter Bookmarked Exhibitors;
lbl.exit.booth;Exit Booth;
lbl.open.in.zoom;Open in Zoom;
msg.lounge.is.full;Lounge is full;
msg.pls.visit.later;Please visit later;
lbl.end.session.for.all;End Session for All;
lbl.exit.session.without.ending;Exit Session without Ending;
msg.sessions.running.end.and.restart;You are trying to end the <strong>{leaveSession} </strong> session and restart the <strong>{joinSession}</strong>  session in the <strong>{streamSourceLabel}</strong> {streamSource}. This action will stop any session that you are already hosting or sessions that are currently running in the same {streamSource}.;
msg.sessions.running.end.and.start;You are trying to end the <strong>{leaveSession} </strong> session and start the <strong>{joinSession}</strong>  session in the <strong>{streamSourceLabel}</strong> {streamSource}. This action will stop any session that you are already hosting or sessions that are currently running in the same {streamSource}.;
lbl.track;Track;
lbl.hall;Hall;
msg.stop.recording;This action will stop the ongoing recording.;
lbl.stop;Stop;
msg.cant.start.webcast.stream.tba.session;This session can't be started as the webcast stream is not configured. Please configure webcast stream to start it.;
lbl.enter.stage;Enter Stage;
msg.mic.access.approve.modal.confirm;The Panelist has enabled your mic access. Click <b>Enter Stage</b> to start speaking;
msg.error.vc.multiple.tab;Looks like you've joined the <strong>{eventName}</strong> event in more than one tab. Click <strong>here</strong> to join the event in this window.;
lbl.join.here;Join Here;
lbl.leave.stage;Leave Stage;
msg.room.wms.server.down.error;Sorry, the messaging server is down. Please try again later.;
msg.leave.stage.modal.confirm;This action will remove you from the stage;
lbl.abstract.reviewers;Abstract Reviewer;
lbl.choose.image;Choose Image;
lbl.select;Select;
lbl.recent;Recent;
lbl.ascending;Ascending;
lbl.descending;Descending;
lbl.upload.image;Upload Image;
msg.upload.image.design.library;Upload images to your Design Library;
lbl.event.logo;Event Logo;
msg.success.conf.setting.save;Settings preferences saved;
msg.error.conf.setting.save;Sorry, the settings preferences couldn't be saved. Please try again later.;
lbl.session.stage.background;Session Stage Background;
lbl.expo.stage.background;Booth Background;
lbl.no.image.added;No Image Added;
lbl.video.effects;Video Effects;
lbl.previous;Prev;
msg.poll.submitted;Poll submitted;
lbl.ended.session;Ended Session;
msg.live.coming.forth.sessions;Live and coming forth sessions;
msg.vc.bg.layer.override;Default background;
msg.vc.bg.theme.overridden;Ambience changes made in accessibility options won't reflect for attendees. To change the event ambience for attendees, use the above option.;
msg.no.vc.bg.select;No default background selected;
lbl.reset.vc.bg;Reset to Default;
lbl.category.sponsors;{categoryName} Sponsors;
lbl.category.sponsor;{categoryName} Sponsor;
lbl.no.of.visitor;1 Visitor;
lbl.no.of.visitors;{visitorCount} Visitors;
lbl.no.of.meeting;1 Meeting;
lbl.no.of.meetings;{meetingCount} Meetings;
